Composition_ID,Mo_mp,Nb_mp,Ti_mp,Zr_mp,T_eutectic,T_solvus,difference
1583,45,10,10,20,2031.949925,3132.455466,1100.505542
1584,45,10,15,15,2356.385867,3219.598621,383.6141334
1585,45,10,20,10,2641.872457,3258.323163,138.1275427
1586,45,10,25,5,2597.437475,3213.217083,615.7796076
1587,45,15,5,20,1922.926788,3035.728686,1112.801897
1588,45,15,10,15,2404.57227,3165.583501,355.4277302
1589,45,15,15,10,2685.99825,3226.086139,114.0017502
1590,45,15,20,5,2639.84438,3196.934106,557.0897261
1591,45,20,5,15,2348.279428,3067.601039,719.3216112
1592,45,20,10,10,2707.630543,3172.77141,92.36945725
1593,45,20,15,5,2644.615576,3167.592983,522.9774069
1594,45,25,5,10,2663.260405,3074.688411,216.7395955
1595,45,25,10,5,2626.829584,3117.027822,490.1982383
1596,45,30,5,5,2572.774072,3021.40495,448.6308784
1597,50,5,5,25,1964.065013,3014.262767,1050.197754
1598,50,5,10,20,2067.537733,3157.75054,1090.212807
1599,50,5,15,15,2324.376232,3247.535538,425.6237679
1600,50,5,20,10,2614.68677,3288.705872,674.0191027
1601,50,5,25,5,2558.227437,3244.716448,686.4890107
1602,50,10,5,20,1930.524483,3060.314063,1129.78958
1603,50,10,10,15,2384.040183,3192.795043,385.9598168
1604,50,10,15,10,2680.749751,3255.629081,119.2502495
1605,50,10,20,5,2626.776317,3227.529299,600.7529826
1606,50,15,5,15,2344.55357,3093.822601,749.2690301
1607,50,15,10,10,2715.553299,3201.39468,94.44670142
1608,50,15,15,5,2644.478486,3197.259261,552.7807749
1609,50,20,5,10,2680.528727,3102.05421,109.4712734
1610,50,20,10,5,2631.07961,3145.652346,514.5727362
1611,50,25,5,5,2574.998308,3048.584338,473.58603
1612,5,5,20,50,1804.127238,2891.406329,82.27276172
1613,5,5,25,45,1798.922574,2974.551942,181.0774259
1614,5,5,30,40,1794.621519,3047.802743,1253.181224
1617,5,5,45,25,1959.459155,3206.47226,1247.013105
1618,5,5,50,20,2041.360955,3231.62307,268.6390445
1619,5,10,15,50,1819.47222,2851.143659,884.5277795
1620,5,10,20,45,1823.392234,2942.677855,1119.285621
1621,5,10,25,40,1823.430996,3021.588896,1135.369004
1622,5,10,30,35,1826.001628,3089.667158,1263.66553
1623,5,10,35,30,1837.449672,3146.830476,1232.550328
1624,5,10,40,25,1923.148824,3191.439824,1268.291
1625,5,10,45,20,2036.717065,3219.896071,903.2829348
1626,5,10,50,15,1991.809124,3225.225198,798.1908762
1627,5,15,10,50,1807.088816,2791.498803,984.4099875
1628,5,15,15,45,1839.885624,2898.62863,1058.743005
1629,5,15,20,40,1849.673511,2986.802795,1137.129284
1630,5,15,25,35,1855.558929,3061.327524,1205.768595
1632,5,15,35,25,1925.508892,3172.506128,1246.997236
1633,5,15,40,20,2059.37058,3205.080695,1145.710115
1635,5,15,50,10,2026.501524,3186.80645,1160.304925
1636,5,20,5,50,1686.357474,2691.642052,1005.284578
1637,5,20,10,45,1818.820149,2835.411267,1016.591118
1638,5,20,15,40,1861.916553,2940.182292,1078.265739
1639,5,20,20,35,1879.269533,3024.788426,1145.518892
1640,5,20,25,30,1898.829544,3094.203183,1195.373639
1641,5,20,30,25,1971.221217,3148.97652,1177.755302
1642,5,20,35,20,2125.222023,3186.708042,1061.48602
1643,5,20,40,15,2200.880269,3201.244805,779.1197306
1644,5,20,45,10,2137.433271,3178.704819,1041.271548
1645,5,20,50,5,1992.650728,3079.677486,1087.026759
1646,5,25,5,45,1688.182697,2731.656349,1043.473652
1649,5,25,20,30,1929.335982,3056.921492,1127.58551
1650,5,25,25,25,2030.324044,3119.661944,1089.3379
1651,5,25,30,20,2203.025903,3163.982452,960.9565491
1652,5,25,35,15,2300.809413,3184.543948,883.7345354
1653,5,25,40,10,2245.658512,3168.052075,351.1414881
1654,5,25,45,5,2065.446621,3075.828559,480.5533792
1655,5,30,5,40,1689.77654,2767.943026,1078.166486
1656,5,30,10,35,1847.06531,2909.45129,1062.38598
1657,5,30,15,30,1943.12834,3008.150326,1065.021986
1658,5,30,20,25,2081.218952,3082.550921,1001.33197
1659,5,30,25,20,2271.234566,3135.62927,864.3947038
1660,5,30,30,15,2379.16903,3163.64217,784.4731397
1661,5,30,35,10,2336.550459,3154.214775,817.6643164
1662,5,30,40,5,2142.808236,3069.570494,417.1917643
